time,id,travel_id,x,y,vx,vy,ax,ay
0.01,0,2,-99.9994,1.75,0.06,0,6,0
0.02,0,2,-99.9982,1.75,0.12,-1.14441e-10,6,-1.14441e-08
0.03,0,2,-99.9964,1.75,0.18,-3.43213e-10,6,-2.28772e-08
0.04,0,2,-99.994,1.75,0.24,-3.42719e-10,6,4.94216e-11
0.05,0,2,-99.991,1.75,0.3,-3.42061e-10,6,6.58029e-11
0.06,0,2,-99.9874,1.75,0.36,-9.13444e-10,6,-5.71384e-08
0.07,0,2,-99.9832,1.75,0.42,-9.10813e-10,6,2.63073e-10
0.08,0,2,-99.9784,1.75,0.48,-9.07753e-10,6,3.06033e-10
0.09,0,2,-99.973,1.75,0.54,-9.04267e-10,6,3.48577e-10
0.1,0,2,-99.967,1.75,0.6,-1.93033e-09,5.99999,-1.02606e-07
0.11,0,2,-99.9604,1.75,0.66,-7.76655e-10,5.99999,1.15367e-07
0.12,0,2,-99.9532,1.75,0.72,-7.72554e-10,5.99999,4.10072e-10
0.13,0,2,-99.9454,1.75,0.78,-2.14139e-09,5.99999,-1.36884e-07
0.14,0,2,-99.937,1.75,0.84,-3.61576e-09,5.99999,-1.47437e-07
0.15,0,2,-99.928,1.75,0.899999,-1.98929e-09,5.99998,1.62647e-07
0.16,0,2,-99.9184,1.75,0.959999,-2.58358e-10,5.99998,1.73094e-07
0.17,0,2,-99.9082,1.75,1.02,-2.56374e-10,5.99996,1.98419e-10
0.18,0,2,-99.8974,1.75,1.08,-2.54282e-10,5.99996,2.09202e-10
0.19,0,2,-99.886,1.75,1.14,-2.31202e-09,5.99995,-2.05774e-07
0.2,0,2,-99.874,1.75,1.2,-2.29093e-09,5.99993,2.10856e-09
0.21,0,2,-99.8614,1.75,1.26,-2.26894e-09,5.99992,2.19929e-09
0.22,0,2,-99.8482,1.75,1.32,-2.24607e-09,5.99991,2.28708e-09
0.23,0,2,-99.8344,1.75,1.37999,-2.22235e-09,5.99989,2.37184e-09
0.24,0,2,-99.82,1.75,1.43999,4.34315e-10,5.99986,2.65667e-07
